010.000.0101.00	inhibe	 la síntesis de prostaglandinas
010.000.5107.00 	tieneGeneralidad	y
010.000.5107.00 	tieneGeneralidad	a
010.000.5107.00 	provoca	 una repermeabilización
010.000.5107.00 	provoca	vascular
010.000.4107.00 	tieneGeneralidad	de
010.000.4110.00	tieneGeneralidad	de
010.000.4107.00 	prolonga	 el potencial acción
010.000.4110.00	prolonga	 el potencial acción
010.000.5800.00	tieneGeneralidad	/
010.000.5645.00	tieneGeneralidad	es
010.000.5645.01	tieneGeneralidad	es
010.000.5645.00	tieneGeneralidad	activo
010.000.5645.01	tieneGeneralidad	activo
010.000.5645.00	tieneGeneralidad	oral
010.000.5645.01	tieneGeneralidad	oral
010.000.2530.00	tieneGeneralidad	receptores de
010.000.2530.00	tieneGeneralidad	con
010.000.2530.00	tieneGeneralidad	y
010.000.2530.00	tieneGeneralidad	.
010.000.2545.00	tieneGeneralidad	1
010.000.2545.00	tieneGeneralidad	  , que
010.000.2545.00	tiene	 acción protectora sobre los órganos
010.000.4307.00	tieneGeneralidad	  , con efecto vasodilatador
010.000.4307.00	tieneGeneralidad	  ,
010.000.4307.00	tieneGeneralidad	y
010.000.4307.00	tieneGeneralidad	como
010.000.4307.00	tieneGeneralidad	3
010.000.2101.00	tieneGeneralidad	que
010.000.2101.00	actúaSobre	 los receptores
010.000.2101.00	actúaSobre	alfa
010.000.4246.00	tieneGeneralidad	  , que
010.000.4246.01	tieneGeneralidad	  , que
010.000.0568.00	tieneGeneralidad	arteriola
010.000.2112.00	tieneGeneralidad	de
010.000.2112.00	reduce	concentración
010.000.0642.00	tieneGeneralidad	está
010.000.0642.01	tieneGeneralidad	está
010.000.0642.02	tieneGeneralidad	está
010.000.0642.03	tieneGeneralidad	está
010.000.0642.00	tieneGeneralidad	en
010.000.0642.01	tieneGeneralidad	en
010.000.0642.02	tieneGeneralidad	en
010.000.0642.03	tieneGeneralidad	en
010.000.0642.00	tieneGeneralidad	  , en la
010.000.0642.01	tieneGeneralidad	  , en la
010.000.0642.02	tieneGeneralidad	  , en la
010.000.0642.03	tieneGeneralidad	  , en la
010.000.0642.00	tieneGeneralidad	  ,
010.000.0642.01	tieneGeneralidad	  ,
010.000.0642.02	tieneGeneralidad	  ,
010.000.0642.03	tieneGeneralidad	  ,
010.000.0642.00	tieneGeneralidad	que
010.000.0642.01	tieneGeneralidad	que
010.000.0642.02	tieneGeneralidad	que
010.000.0642.03	tieneGeneralidad	que
010.000.0642.00	tiene	 tolerancia al esfuerzo
010.000.0642.01	tiene	 tolerancia al esfuerzo
010.000.0642.02	tiene	 tolerancia al esfuerzo
010.000.0642.03	tiene	 tolerancia al esfuerzo
010.000.0615.00	tieneGeneralidad	beta
010.000.0615.01	tieneGeneralidad	beta
010.000.0615.00	tieneGeneralidad	.
010.000.0615.01	tieneGeneralidad	.
010.000.0615.00	aumenta	 la fuerza contracción
010.000.0615.01	aumenta	 la fuerza contracción
010.000.0614.00	tieneGeneralidad	adrenérgico
010.000.0614.00	tieneGeneralidad	de
010.000.0614.00	tieneGeneralidad	dopaminérgicos
010.000.0614.00	tieneGeneralidad	alfa y
040.000.2107.00	tieneGeneralidad	e
040.000.2107.00	tieneGeneralidad	 
010.000.5104.00	tieneGeneralidad	de
010.000.5105.00	tieneGeneralidad	de
010.000.5104.00	tieneGeneralidad	.
010.000.5105.00	tieneGeneralidad	.
010.000.1734.00	tieneGeneralidad	un
010.000.1735.00	tieneGeneralidad	un
010.000.1736.00	tieneGeneralidad	un
010.000.1734.00	tieneGeneralidad	que
010.000.1735.00	tieneGeneralidad	que
010.000.1736.00	tieneGeneralidad	que
010.000.1734.00	genera	 fibrinolisis
010.000.1735.00	genera	 fibrinolisis
010.000.1736.00	genera	 fibrinolisis
010.000.6076.00	tieneGeneralidad	que
010.000.6076.00	presenta	 una actividad antiinflamatoria
010.000.4202.00	produce	 su efecto antiinfamatorio
010.000.4095.00	tieneGeneralidad	de
010.000.5801.00	tieneGeneralidad	/
010.000.5802.00	tieneGeneralidad	/
010.000.5801.00	tieneGeneralidad	la
010.000.5802.00	tieneGeneralidad	la
010.000.5801.00	tieneGeneralidad	arterial
010.000.5802.00	tieneGeneralidad	arterial
010.000.5801.00	tieneGeneralidad	Arterial
010.000.5802.00	tieneGeneralidad	Arterial
010.000.5801.00	tieneGeneralidad	  a
010.000.5802.00	tieneGeneralidad	  a
010.000.5801.00	tieneGeneralidad	son
010.000.5802.00	tieneGeneralidad	son
010.000.5801.00	tieneGeneralidad	con
010.000.5802.00	tieneGeneralidad	con
010.000.5801.00	tieneGeneralidad	diferentes
010.000.5802.00	tieneGeneralidad	diferentes
010.000.5801.00	tieneGeneralidad	han
010.000.5802.00	tieneGeneralidad	han
010.000.5801.00	empleaEn	 mayor frecuencia
010.000.5802.00	empleaEn	 mayor frecuencia
010.000.5801.00	empleaEn	dolor
010.000.5802.00	empleaEn	dolor
010.000.4097.00	tieneGeneralidad	de
010.000.4097.00	tieneGeneralidad	en
010.000.4097.00	tieneGeneralidad	.
010.000.2115.00	tieneGeneralidad	que
010.000.2115.00	produce	 relajación de la musculatura bronquial
010.000.4118.00	tieneGeneralidad	que
010.000.4118.01	tieneGeneralidad	que
010.000.4118.00	disminuye	 el requerimiento
010.000.4118.01	disminuye	 el requerimiento
010.000.4120.00	tieneGeneralidad	que
010.000.4121.00	tieneGeneralidad	que
010.000.4120.00	incrementa	 el aporte
010.000.4121.00	incrementa	 el aporte
010.000.6071.00	tieneGeneralidad	es
010.000.6072.00	tieneGeneralidad	es
010.000.6071.00	tieneGeneralidad	que
010.000.6072.00	tieneGeneralidad	que
010.000.6071.00	reduceDe	 manera exclusiva frecuencia cardíaca
010.000.6072.00	reduceDe	 manera exclusiva frecuencia cardíaca
010.000.5097.00	aumenta	 la contractilidad del corazón mediante el incremento
010.000.5097.01	aumenta	 la contractilidad del corazón mediante el incremento
010.000.5097.00	aumenta	sensibilidad
010.000.5097.01	aumenta	sensibilidad
010.000.0261.00	tieneGeneralidad	de
010.000.0522.00	tieneGeneralidad	de
010.000.0261.00	tieneGeneralidad	1b
010.000.0522.00	tieneGeneralidad	1b
010.000.0261.00	reduce	 la depolarización
010.000.0522.00	reduce	 la depolarización
010.000.2520.00	tieneGeneralidad	de
010.000.2520.00	tieneGeneralidad	que
010.000.2520.00	bloquea	 la vasoconstricción
010.000.2521.00	tieneGeneralidad	de
010.000.2521.00	tieneGeneralidad	y
010.000.2521.00	tieneGeneralidad	.
010.000.0566.00	tieneGeneralidad	.
010.000.5100.00	tieneGeneralidad	en
010.000.5100.01 	tieneGeneralidad	en
010.000.5100.00	tieneGeneralidad	cardiaco y
010.000.5100.01 	tieneGeneralidad	cardiaco y
010.000.5100.00	tieneGeneralidad	inotrópico
010.000.5100.01 	tieneGeneralidad	inotrópico
010.000.5100.00	tieneGeneralidad	con
010.000.5100.01 	tieneGeneralidad	con
010.000.5100.00	tieneGeneralidad	.
010.000.5100.01 	tieneGeneralidad	.
010.000.4200.00	tieneGeneralidad	tipo b humano
010.000.4200.00	tieneGeneralidad	ejerciendo
010.000.4200.00	tieneGeneralidad	vascular
010.000.4200.00	tieneGeneralidad	y
010.000.0569.00	tieneGeneralidad	que
010.000.0569.00	produce	 una disminución de la pre postcarga
010.000.0612.00	tieneGeneralidad	que
010.000.0612.00	incrementa	 la presión
010.000.0612.00	incrementa	arterial
010.000.4122.00	reduce	 la viscosidad
010.000.4122.01	reduce	 la viscosidad
010.000.0573.00	tieneGeneralidad	  , que
010.000.0573.00	disminuye	 la resistencia
010.000.0573.00	disminuye	vascular
010.000.0573.00	disminuye	 periférica
010.000.0537.00	bloquea	 la corriente entrada
010.000.2117.00	tieneGeneralidad	y
010.000.2117.00	tieneGeneralidad	  , sin actividad
010.000.2117.00	tieneGeneralidad	.
010.000.2117.00	tieneGeneralidad	la
010.000.2117.00	tieneGeneralidad	cardiaca de
010.000.2117.00	tieneGeneralidad	arterial
010.000.2117.00	tieneGeneralidad	Arterial
010.000.0527.00	tieneGeneralidad	de
010.000.0527.00	disminuye	velocidad de
010.000.0527.00	disminuye	 despolarización
010.000.6112.00	tieneGeneralidad	es
010.000.6113.00	tieneGeneralidad	es
010.000.6114.00	tieneGeneralidad	es
010.000.6112.00	tieneGeneralidad	y
010.000.6113.00	tieneGeneralidad	y
010.000.6114.00	tieneGeneralidad	y
010.000.6112.00	tieneGeneralidad	la
010.000.6113.00	tieneGeneralidad	la
010.000.6114.00	tieneGeneralidad	la
010.000.6112.00	tieneGeneralidad	.
010.000.6113.00	tieneGeneralidad	.
010.000.6114.00	tieneGeneralidad	.
010.000.2540.00	tieneGeneralidad	de
010.000.2542.00	tieneGeneralidad	de
010.000.2542.00	tieneGeneralidad	y
010.000.2542.00	tieneGeneralidad	.
010.000.5117.00	tieneGeneralidad	que
010.000.5117.00	provoca	 repermeabilización
010.000.5117.00	provoca	vascular
010.000.4123.00	tieneGeneralidad	/
010.000.4123.01	tieneGeneralidad	/
010.000.4123.00	impide	 la unión del fibrinógeno al gp iib
010.000.4123.01	impide	 la unión del fibrinógeno al gp iib
010.000.5111.00	tieneGeneralidad	de
010.000.5111.00	tieneGeneralidad	.
010.000.5111.00	tieneGeneralidad	  , como
010.000.5111.00	tieneGeneralidad	vasoconstrictor
010.000.5111.00	produce	 una respuesta presora directa
010.000.0623.00	inhibe	efecto de la vitamina k y
010.000.0831.00	tieneGeneralidad	y
010.000.0831.00	tieneGeneralidad	y
010.000.0831.00	tieneGeneralidad	.
010.000.5132.00	tieneGeneralidad	  ,
010.000.5132.01	tieneGeneralidad	  ,
010.000.5132.00	tieneGeneralidad	  ,
010.000.5132.01	tieneGeneralidad	  ,
010.000.5132.00	tieneGeneralidad	  ,
010.000.5132.01	tieneGeneralidad	  ,
010.000.5132.00	tieneGeneralidad	antiséptica
010.000.5132.01	tieneGeneralidad	antiséptica
010.000.5132.00	tieneGeneralidad	.
010.000.5132.01	tieneGeneralidad	.
010.000.0871.00	tieneGeneralidad	a
010.000.0871.00	tieneGeneralidad	de
010.000.0871.00	tieneGeneralidad	a
010.000.0871.00	tieneGeneralidad	.
010.000.0801.00	produce	 alivio sintomático de las molestias ocasionadas
010.000.0801.01	produce	 alivio sintomático de las molestias ocasionadas
010.000.0861.00	actúaContra	 pediculus
010.000.0872.00	tieneGeneralidad	y
010.000.0872.00	tieneGeneralidad	.
010.000.0811.00	difundeA	 través de la membrana celular
010.000.0813.00	difundeA	 través de la membrana celular
010.000.4134.00	agota	 los depósitos
010.000.4134.01	agota	 los depósitos
010.000.2024.00	tieneGeneralidad	  , que
010.000.2024.00	inhibe	 la síntesis de la membrana micótica
010.000.4132.00	tieneGeneralidad	y
010.000.4133.00	tieneGeneralidad	y
010.000.4133.01	tieneGeneralidad	y
010.000.4132.00	tieneGeneralidad	  , que se
010.000.4133.00	tieneGeneralidad	  , que se
010.000.4133.01	tieneGeneralidad	  , que se
010.000.4132.00	metabolizaEn	 hígado
010.000.4133.00	metabolizaEn	 hígado
010.000.4133.01	metabolizaEn	 hígado
010.000.0804.00	ejerce	 una acción astringente protectora
010.000.0865.00	tieneGeneralidad	contra
010.000.0865.00	tieneGeneralidad	  , corporis y pubis
010.000.0865.00	tieneGeneralidad	en
010.000.0865.00	tieneGeneralidad	como
010.000.0865.00	tieneGeneralidad	)
010.000.0901.00	tieneGeneralidad	que
010.000.0901.00	provoca	 la descamación del epitelio cornificado
010.000.0904.00	estimula	 la mitosis
010.000.5130.00	conoce	 su mecanismo exacto de acción
010.000.2119.00	estimula	 la transcripción del rna
010.000.5612.00	tieneGeneralidad	y
010.000.5612.00	tieneGeneralidad	la
010.000.5612.00	tieneGeneralidad	.
010.000.5612.00	tieneGeneralidad	  , la
010.000.5612.00	tieneGeneralidad	del
010.000.5612.00	tieneGeneralidad	calcio
010.000.5612.00	tieneGeneralidad	.
010.000.5612.00	tieneGeneralidad	del
010.000.5612.00	absorbeA	partir
010.000.4136.00	inhibe	 la síntesis de proteínas bacterianas
010.000.0903.00	tieneGeneralidad	.
010.000.0903.00	inhibe	 la síntesis de adn
010.000.2120.00	contieneEn	 proporciones fisiológicas
010.000.2120.00	contieneEn	 las sustancias higroscópicas
010.000.4140.00	tieneGeneralidad	y
010.000.4140.00	tieneGeneralidad	;
010.000.4140.00	ejerce	 una actividad antivírica
010.000.2121.00	regula	 la permeabilidad de las paredes celulares
010.000.2122.00	regula	 la permeabilidad de las paredes celulares
010.000.5126.00	tieneGeneralidad	  , para la
010.000.5126.00	tieneGeneralidad	requiere
010.000.5126.00	requiere	presencia de
010.000.5126.00	requiere	 melanocitos activos
010.000.2123.00	tieneGeneralidad	  , que
010.000.2123.00	inhibe	 la síntesis de proteínas al unirse a la enzima isoleucil rna transferencia bacteria
010.000.2124.00	tieneGeneralidad	solar
010.000.2124.00	tieneGeneralidad	.
PIMECROLIMUS010.000.4131.00	tieneGeneralidad	e
010.000.4131.01	tieneGeneralidad	e
PIMECROLIMUS010.000.4131.00	tieneGeneralidad	y
010.000.4131.01	tieneGeneralidad	y
PIMECROLIMUS010.000.4131.00	tieneGeneralidad	y
010.000.4131.01	tieneGeneralidad	y
PIMECROLIMUS010.000.4131.00	tieneGeneralidad	.
010.000.4131.01	tieneGeneralidad	.
PIMECROLIMUS010.000.4131.00	uneCon	 gran afinidad a la macrofilina
010.000.4131.01	uneCon	 gran afinidad a la macrofilina
010.000.6080.00	tieneGeneralidad	es
010.000.6080.00	tieneGeneralidad	totalmente
010.000.4126.00	tieneGeneralidad	que
010.000.4126.00	incluye	 los gérmenes
010.000.4130.00	induce	 la diferenciación celular
010.000.4137.00	previene	 la agregación de células escamosas
010.000.5695.00	tieneGeneralidad	es
010.000.5695.01	tieneGeneralidad	es
010.000.5695.00	tieneGeneralidad	totalmente
010.000.5695.01	tieneGeneralidad	totalmente
010.000.5695.00	uneCon	 gran afinidad
010.000.5695.01	uneCon	 gran afinidad
010.000.1096.00	estimula	 los receptores dopaminérgicos
